Animal,Ligand,Cell,Antibody,EC50,Donor,Lower,Upper,IL4Rα,γ,IL13Rα,Ratio
Human,hIL4,A549,FALSE,1.40E-10,210929,-5.36,103.80,142.6098048,7663.161708,1412.924942,5.423615566
Human,hIL13,A549,FALSE,2.09E-09,210929,1.43,90.45,142.6098048,7663.161708,1412.924942,5.423615566
Human,hNeo4,A549,FALSE,1,210929,0.00,0.00,142.6098048,7663.161708,1412.924942,5.423615566
Human,hIL4,Ramos,FALSE,1.96E-11,210929,0.20,103.70,2887.425651,12789.23321,5.014652759,2550.372644
Human,hIL13,Ramos,FALSE,1,210929,0.00,0.00,2887.425651,12789.23321,5.014652759,2550.372644
Human,hNeo4,Ramos,FALSE,2.86E-10,210929,-0.23,105.50,2887.425651,12789.23321,5.014652759,2550.372644
Human,hIL4,Monocyte,FALSE,1.21E-11,210903,-1.49,100.00,128.5767197,141225.8347,766.4034949,184.2708646
Human,hIL13,Monocyte,FALSE,1.23E-10,210903,-3.20,97.33,128.5767197,141225.8347,766.4034949,184.2708646
Human,hNeo4,Monocyte,FALSE,1.53E-09,210903,-2.35,82.16,128.5767197,141225.8347,766.4034949,184.2708646
Human,hIL4,Monocyte,FALSE,9.84E-12,210831,-6.89,102.70,80.9769561,227468.7498,544.7727201,417.5479818
Human,hIL13,Monocyte,FALSE,9.94E-11,210831,-8.16,74.02,80.9769561,227468.7498,544.7727201,417.5479818
Human,hNeo4,Monocyte,FALSE,2.28E-09,210831,-4.53,50.89,80.9769561,227468.7498,544.7727201,417.5479818
Human,hIL4,Macrophage,FALSE,2.94E-11,210820,-0.75,101.10,ND,843885.3793,2213.970252,381.1638294
Human,hIL13,Macrophage,FALSE,2.36E-10,210820,-3.18,93.35,ND,843885.3793,2213.970252,381.1638294
Human,hNeo4,Macrophage,FALSE,3.17E-09,210820,-2.39,27.39,ND,843885.3793,2213.970252,381.1638294
Human,hIL4,Macrophage,FALSE,4.24E-11,210806,3.63,102.10,ND,778759.3033,1686.34342,461.8035058
Human,hIL13,Macrophage,FALSE,2.92E-10,210806,2.07,99.25,ND,778759.3033,1686.34342,461.8035058
Human,hNeo4,Macrophage,FALSE,1.13E-08,210806,2.50,7.87,ND,778759.3033,1686.34342,461.8035058
Human,hIL4,Monocyte,FALSE,2.69E-11,210722,1.51,100.60,111.5305538,133559.6656,486.9179744,274.2960265
Human,hIL13,Monocyte,FALSE,6.56E-11,210722,3.06,113.70,111.5305538,133559.6656,486.9179744,274.2960265
Human,hNeo4,Monocyte,FALSE,1.44E-09,210722,3.95,89.59,111.5305538,133559.6656,486.9179744,274.2960265
Human,hIL4,Fibroblast,FALSE,4.81E-11,210526,-2.61,101.80,694.9026908,82826.10211,967.8609288,85.57644972
Human,hIL13,Fibroblast,FALSE,not tested,210526,0.00,0.00,694.9026908,82826.10211,967.8609288,85.57644972
Human,hNeo4,Fibroblast,FALSE,1,210526,0.00,0.00,694.9026908,82826.10211,967.8609288,85.57644972
Human,hIL4,Macrophage,FALSE,4.36E-11,210522,3.26,103.40,ND,1686134.27,5189.768973,324.8958247
Human,hIL13,Macrophage,FALSE,not tested,210522,0.00,0.00,ND,1686134.27,5189.768973,324.8958247
Human,hNeo4,Macrophage,FALSE,1.19E-08,210522,-4.24,6.26,ND,1686134.27,5189.768973,324.8958247
Human,hIL4,Fibroblast,FALSE,3.23E-11,210517,-2.89,102.60,841.9778769,30705.63066,255.617694,120.1232598
Human,hIL13,Fibroblast,FALSE,not tested,210517,0.00,0.00,841.9778769,30705.63066,255.617694,120.1232598
Human,hNeo4,Fibroblast,FALSE,1,210517,0.00,0.00,841.9778769,30705.63066,255.617694,120.1232598
Human,hIL4,Macrophage,FALSE,2.92E-11,210504,-0.89,98.98,ND,960148.3586,2214.31972,433.6087286
Human,hIL13,Macrophage,FALSE,not tested,210504,0.00,0.00,ND,960148.3586,2214.31972,433.6087286
Human,hNeo4,Macrophage,FALSE,5.28E-09,210504,1.19,17.36,ND,960148.3586,2214.31972,433.6087286
Human,hIL4,Monocyte,FALSE,6.81E-12,210426,-11.71,105.10,169.4478196,60489.08182,678.1702287,89.19454034
Human,hIL13,Monocyte,FALSE,5.56E-11,210426,-3.89,106.10,169.4478196,60489.08182,678.1702287,89.19454034
Human,hNeo4,Monocyte,FALSE,8.24E-10,210426,-7.34,80.05,169.4478196,60489.08182,678.1702287,89.19454034
Human,hIL4,Monocyte,FALSE,3.66E-12,210319,-3.80,99.22,183.7076503,125764.2571,549.9746073,228.6728432
Human,hIL13,Monocyte,FALSE,not tested,210319,0.00,0.00,183.7076503,125764.2571,549.9746073,228.6728432
Human,hNeo4,Monocyte,FALSE,7.22E-10,210319,-1.16,96.08,183.7076503,125764.2571,549.9746073,228.6728432
Human,hIL4,Monocyte,FALSE,7.64E-12,210312,-2.24,90.13,49.58936655,53643.93996,495.2931227,108.3074598
Human,hIL13,Monocyte,FALSE,not tested,210312,0.00,0.00,49.58936655,53643.93996,495.2931227,108.3074598
Human,hNeo4,Monocyte,FALSE,1.65E-09,210312,-0.06,58.51,49.58936655,53643.93996,495.2931227,108.3074598
Human,hIL4,Ramos,FALSE,1.00E-11,210309,-3.32,103.00,3120.487623,20817.61212,ND,not tested
Human,hIL13,Ramos,FALSE,1,210309,0.00,0.00,3120.487623,20817.61212,ND,not tested
Human,hNeo4,Ramos,FALSE,1.28E-10,210309,-1.70,101.30,3120.487623,20817.61212,ND,not tested
Human,hIL4,A549,FALSE,3.73E-11,210309,1.66,102.70,110.1112383,9086.483973,1510.38867,6.015990556
Human,hIL13,A549,FALSE,6.52E-10,210309,5.59,92.84,110.1112383,9086.483973,1510.38867,6.015990556
Human,hNeo4,A549,FALSE,1,210309,0.00,0.00,110.1112383,9086.483973,1510.38867,6.015990556
Human,hIL4,Ramos,TRUE,2.07E-11,210929,-0.3888,100.5,2887.425651,12789.23321,5.014652759,2550.372644
Human,hIL13,Ramos,TRUE,1,210929,0,0,2887.425651,12789.23321,5.014652759,2550.372644
Human,hNeo4,Ramos,TRUE,3.49E-10,210929,-0.7113,103.6,2887.425651,12789.23321,5.014652759,2550.372644
Human,hIL4,Monocyte,TRUE,4.67E-11,210903,-1.692,113.3,128.5767197,141225.8347,766.4034949,184.2708646
Human,hIL13,Monocyte,TRUE,2.15E-09,210903,-2.415,105.8,128.5767197,141225.8347,766.4034949,184.2708646
Human,hNeo4,Monocyte,TRUE,2.18E-09,210903,-1.918,85.66,128.5767197,141225.8347,766.4034949,184.2708646
Human,hIL4,Monocyte,TRUE,2.21E-11,210831,-7.474,74.92,80.9769561,227468.7498,544.7727201,417.5479818
Human,hIL13,Monocyte,TRUE,4.51E-10,210831,-7.282,60.23,80.9769561,227468.7498,544.7727201,417.5479818
Human,hNeo4,Monocyte,TRUE,2.66E-09,210831,-4.243,52.77,80.9769561,227468.7498,544.7727201,417.5479818
Human,hIL4,Macrophage,TRUE,1.31E-10,210820,-2.271,68.38,ND,843885.3793,2213.970252,381.1638294
Human,hIL13,Macrophage,TRUE,5.84E-09,210820,-3.261,99.76,ND,843885.3793,2213.970252,381.1638294
Human,hNeo4,Macrophage,TRUE,2.20E-09,210820,-3.595,28.01,ND,843885.3793,2213.970252,381.1638294
Human,hIL4,Macrophage,TRUE,2.23E-10,210806,2.024,82.1,ND,778759.3033,1686.34342,461.8035058
Human,hIL13,Macrophage,TRUE,4.47E-09,210806,2.033,106.4,ND,778759.3033,1686.34342,461.8035058
Human,hNeo4,Macrophage,TRUE,2.42E-09,210806,3.274,5.387,ND,778759.3033,1686.34342,461.8035058
Human,hIL4,Monocyte,TRUE,3.93E-11,210722,-4,104.9,111.5305538,133559.6656,486.9179744,274.2960265
Human,hIL13,Monocyte,TRUE,1.51E-09,210722,4.793,105.4,111.5305538,133559.6656,486.9179744,274.2960265
Human,hNeo4,Monocyte,TRUE,1.94E-09,210722,6.609,81.44,111.5305538,133559.6656,486.9179744,274.2960265
Human,hIL4,A549,TRUE,2.01E-09,210309,4.122,90.19,110.1112383,9086.483973,1510.38867,6.015990556
Human,hIL13,A549,TRUE,6.48E-09,210309,4.117,89.23,110.1112383,9086.483973,1510.38867,6.015990556
Human,hNeo4,A549,TRUE,1.00E+00,210309,0,0,110.1112383,9086.483973,1510.38867,6.015990556