Cell,Animal,Receptor,Amount
Macrophage,Mouse,IL4Ra,23777.4045
Macrophage,Mouse,Gamma,25155.57639
Macrophage,Mouse,IL13Ra,22069.11212
3T3,Mouse,IL4Ra,11264.13
3T3,Mouse,Gamma,4190.96
3T3,Mouse,IL13Ra,15311.82
A20,Mouse,IL4Ra,1851.36
A20,Mouse,Gamma,2276.68
A20,Mouse,IL13Ra,841.2
Monocyte,Human,IL4Ra,66.51
Monocyte,Human,Gamma,98042.31
Monocyte,Human,IL13Ra,583.77
Ramos,Human,IL4Ra,2949.67
Ramos,Human,Gamma,16713.67
Ramos,Human,IL13Ra,0
A549,Human,IL4Ra,133.33
A549,Human,Gamma,18416.67
A549,Human,IL13Ra,1688
Macrophage,Human,IL4Ra,0
Macrophage,Human,Gamma,1760438
Macrophage,Human,IL13Ra,3249
Fibroblast,Human,IL4Ra,767.93
Fibroblast,Human,Gamma,78199.85
Fibroblast,Human,IL13Ra,427.77